,Maximum_Temperature,Minimun_Temperature,Average_Temperature,Rainfall,water_Discharge,Month_sin,Month_cos,Day_sin,Day_cos
38,19.0,1.6,10.3,0.0,290.4,0.8660254037844386,0.5000000000000001,0.9680771188662043,-0.2506525322587204
39,21.0,1.4,11.2,0.0,315.9,0.8660254037844386,0.5000000000000001,0.8978045395707416,-0.4403941515576344
40,18.0,1.6,9.8,0.0,326.4,0.8660254037844386,0.5000000000000001,0.7907757369376989,-0.6121059825476626
41,12.0,3.0,7.5,0.1,332.3,0.8660254037844386,0.5000000000000001,0.6513724827222223,-0.758758122692791
42,9.7,6.8,8.25,12.3,327.5,0.8660254037844386,0.5000000000000001,0.48530196253108104,-0.8743466161445821
43,16.3,1.5,8.9,0.3,377.0,0.8660254037844386,0.5000000000000001,0.29936312297335804,-0.9541392564000488
44,17.5,2.0,9.75,0.0,364.0,0.8660254037844386,0.5000000000000001,0.10116832198743272,-0.994869323391895
45,19.5,2.7,11.1,0.0,345.0,0.8660254037844386,0.5000000000000001,-0.10116832198743204,-0.9948693233918952
46,17.2,3.5,10.35,0.0,311.3,0.8660254037844386,0.5000000000000001,-0.2993631229733582,-0.9541392564000488
47,15.5,7.4,11.45,0.0,316.8,0.8660254037844386,0.5000000000000001,-0.4853019625310808,-0.8743466161445822
48,19.0,8.5,13.75,0.0,322.6,0.8660254037844386,0.5000000000000001,-0.651372482722222,-0.7587581226927911
49,16.0,9.0,12.5,0.0,298.2,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627
50,19.4,9.4,14.4,1.0,283.0,0.8660254037844386,0.5000000000000001,-0.8978045395707417,-0.44039415155763423
51,17.2,5.4,11.3,1.0,351.2,0.8660254037844386,0.5000000000000001,-0.9680771188662041,-0.2506525322587213
52,18.2,2.0,10.1,0.0,295.6,0.8660254037844386,0.5000000000000001,-0.9987165071710528,-0.05064916883871355
53,19.0,2.0,10.5,0.0,322.8,0.8660254037844386,0.5000000000000001,-0.9884683243281114,0.15142777750457667
54,21.0,7.2,14.1,0.0,312.4,0.8660254037844386,0.5000000000000001,-0.9377521321470804,0.3473052528448203
55,20.0,5.0,12.5,0.0,315.6,0.8660254037844386,0.5000000000000001,-0.8486442574947509,0.5289640103269624
56,22.0,5.6,13.8,0.0,293.9,0.8660254037844386,0.5000000000000001,-0.72479278722912,0.6889669190756865
57,26.0,8.5,17.25,0.0,304.8,0.8660254037844386,0.5000000000000001,-0.5712682150947924,0.8207634412072763
58,25.0,5.5,15.25,0.0,291.6,0.8660254037844386,0.5000000000000001,-0.3943558551133187,0.9189578116202306
59,25.5,6.7,16.1,0.0,242.2,1.0,6.123233995736766e-17,0.20129852008866006,0.9795299412524945
60,25.0,7.0,16.0,0.0,213.0,1.0,6.123233995736766e-17,0.39435585511331855,0.9189578116202306
61,26.0,8.0,17.0,0.0,248.6,1.0,6.123233995736766e-17,0.5712682150947923,0.8207634412072763
62,19.5,11.4,15.45,0.5,369.4,1.0,6.123233995736766e-17,0.72479278722912,0.6889669190756866
63,24.5,10.5,17.5,1.0,339.6,1.0,6.123233995736766e-17,0.8486442574947509,0.5289640103269624
64,25.0,7.6,16.3,0.0,270.4,1.0,6.123233995736766e-17,0.9377521321470804,0.3473052528448203
65,19.3,7.7,13.5,0.0,201.8,1.0,6.123233995736766e-17,0.9884683243281114,0.1514277775045767
66,23.5,9.4,16.45,0.0,198.8,1.0,6.123233995736766e-17,0.9987165071710528,-0.05064916883871264
67,23.0,5.8,14.4,0.0,197.0,1.0,6.123233995736766e-17,0.9680771188662043,-0.2506525322587204
68,23.8,6.5,15.15,0.0,185.2,1.0,6.123233995736766e-17,0.8978045395707416,-0.4403941515576344
69,21.7,7.2,14.45,0.0,205.0,1.0,6.123233995736766e-17,0.7907757369376989,-0.6121059825476626
70,17.3,10.2,13.75,0.0,205.6,1.0,6.123233995736766e-17,0.6513724827222223,-0.758758122692791
71,18.5,6.0,12.25,2.0,200.0,1.0,6.123233995736766e-17,0.48530196253108104,-0.8743466161445821
72,24.0,5.5,14.75,0.0,207.0,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488
73,25.5,7.0,16.25,0.0,186.1,1.0,6.123233995736766e-17,0.10116832198743272,-0.994869323391895
74,27.7,9.8,18.75,0.0,194.5,1.0,6.123233995736766e-17,-0.10116832198743204,-0.9948693233918952
